experiment_id,theft_alert_expected,actual_alert,first_alert_s,alert_count,detection_delay_s,final_state
DRAIN-0002,1,0,-1.000,0,-1.000,3
DRAIN-0005,1,1,18.500,1,8.527,3
DRAIN-0007,0,0,-1.000,0,-1.000,1
DRAIN-0017,0,0,-1.000,0,-1.000,1
DRAIN-0019,1,1,19.000,1,9.007,3
DRAIN-0030,1,1,20.500,1,8.001,3
DRAIN-0040,1,1,23.000,1,8.244,3
DRAIN-0042,1,0,-1.000,0,-1.000,3
DRAIN-0043,1,1,23.500,1,10.832,3
DRAIN-0054,1,1,22.500,1,10.241,3
DRAIN-0056,1,0,-1.000,0,-1.000,3
DRAIN-0066,1,0,-1.000,0,-1.000,3
DRAIN-0069,1,1,21.000,1,10.625,3
DRAIN-0071,1,1,22.500,1,8.511,3
DRAIN-0076,1,0,-1.000,0,-1.000,3
DRAIN-0081,1,1,23.000,1,10.742,3
DRAIN-0111,1,1,22.000,1,11.981,3
DRAIN-0112,1,0,-1.000,0,-1.000,3
NORMAL-0001,0,0,-1.000,0,-1.000,3
NORMAL-0006,0,0,-1.000,0,-1.000,3
NORMAL-0013,0,0,-1.000,0,-1.000,1
NORMAL-0018,0,0,-1.000,0,-1.000,3
NORMAL-0027,0,0,-1.000,0,-1.000,1
NORMAL-0029,0,0,-1.000,0,-1.000,1
NORMAL-0043,0,0,-1.000,0,-1.000,1
NORMAL-0060,0,0,-1.000,0,-1.000,3
NORMAL-0085,0,0,-1.000,0,-1.000,1
NORMAL-0086,0,0,-1.000,0,-1.000,3
NORMAL-0090,0,0,-1.000,0,-1.000,3
NORMAL-0091,0,0,-1.000,0,-1.000,1
NORMAL-0094,0,0,-1.000,0,-1.000,1
NORMAL-0096,0,0,-1.000,0,-1.000,3
NORMAL-0098,0,0,-1.000,0,-1.000,1
NORMAL-0099,0,0,-1.000,0,-1.000,1
NORMAL-0113,0,0,-1.000,0,-1.000,3
NORMAL-0118,0,0,-1.000,0,-1.000,1
REFUEL-0003,0,0,-1.000,0,-1.000,1
REFUEL-0018,0,0,-1.000,0,-1.000,3
REFUEL-0025,0,0,-1.000,0,-1.000,3
REFUEL-0034,0,0,-1.000,0,-1.000,3
REFUEL-0040,0,0,-1.000,0,-1.000,3
REFUEL-0041,0,0,-1.000,0,-1.000,3
REFUEL-0047,0,0,-1.000,0,-1.000,1
REFUEL-0055,0,0,-1.000,0,-1.000,1
REFUEL-0064,0,0,-1.000,0,-1.000,3
REFUEL-0065,0,0,-1.000,0,-1.000,3
REFUEL-0073,0,0,-1.000,0,-1.000,3
REFUEL-0075,0,0,-1.000,0,-1.000,1
REFUEL-0077,0,0,-1.000,0,-1.000,3
REFUEL-0080,0,0,-1.000,0,-1.000,3
REFUEL-0085,0,0,-1.000,0,-1.000,3
REFUEL-0098,0,0,-1.000,0,-1.000,3
REFUEL-0101,0,0,-1.000,0,-1.000,3
REFUEL-0112,0,0,-1.000,0,-1.000,3
SLOSHING-0000,0,0,-1.000,0,-1.000,3
SLOSHING-0019,0,0,-1.000,0,-1.000,3
SLOSHING-0021,0,0,-1.000,0,-1.000,3
SLOSHING-0022,0,0,-1.000,0,-1.000,3
SLOSHING-0027,0,0,-1.000,0,-1.000,3
SLOSHING-0028,0,0,-1.000,0,-1.000,3
SLOSHING-0049,0,0,-1.000,0,-1.000,3
SLOSHING-0071,0,0,-1.000,0,-1.000,3
SLOSHING-0075,0,0,-1.000,0,-1.000,3
SLOSHING-0077,0,0,-1.000,0,-1.000,3
SLOSHING-0083,0,0,-1.000,0,-1.000,3
SLOSHING-0088,0,0,-1.000,0,-1.000,3
SLOSHING-0095,0,0,-1.000,0,-1.000,3
SLOSHING-0099,0,0,-1.000,0,-1.000,3
SLOSHING-0102,0,0,-1.000,0,-1.000,3
SLOSHING-0112,0,0,-1.000,0,-1.000,3
SLOSHING-0117,0,0,-1.000,0,-1.000,3
SLOSHING-0119,0,0,-1.000,0,-1.000,3
